,predicted_qty,real_y,date,promotion_flag,Special_order,break,year,month,weekday,long_holiday_start,after_long_holi,chu_and_sul,long_holiday_rest,mean_temp,precipitation_1day,max_windspeed,mean_humidity,weekend
44,1043.2177734375,800.0,2018-05-05,0,0,1,2018,5,6,3,0,0,0,16.9,0.0,12.3,59.9,1
45,711.0363159179688,694.0,2018-05-06,0,0,1,2018,5,7,0,0,0,1,16.2,42.0,9.3,92.8,1
46,652.0864868164062,754.0,2018-05-07,0,0,1,2018,5,1,0,0,0,1,14.8,30.7,4.2,90.9,0
47,534.302001953125,672.0,2018-05-08,0,0,0,2018,5,2,0,0,0,0,14.2,0.0,6.7,72.0,0
48,876.656494140625,387.0,2018-05-09,0,0,0,2018,5,3,0,0,0,0,13.2,0.0,5.1,64.9,0
49,547.8998413085938,477.0,2018-05-10,0,0,0,2018,5,4,0,0,0,0,14.3,0.0,6.3,71.5,0
50,658.2636108398438,397.9999694824219,2018-05-11,0,0,0,2018,5,5,0,0,0,0,17.1,0.0,7.3,57.0,0
51,858.458984375,844.0,2018-05-12,0,0,1,2018,5,6,0,0,0,0,17.8,2.6,10.3,82.5,1
52,818.0428466796875,412.0,2018-05-14,0,0,0,2018,5,1,0,0,0,0,20.0,0.0,5.9,60.4,0
53,689.282958984375,459.0,2018-05-15,0,0,0,2018,5,2,0,0,0,0,21.4,0.0,7.8,67.9,0
54,534.1864013671875,325.0,2018-05-16,0,0,0,2018,5,3,0,0,0,0,20.7,3.8,13.3,94.9,0
55,726.75927734375,562.0,2018-05-17,0,0,0,2018,5,4,0,0,0,0,20.9,6.6,11.7,96.9,0
56,665.7250366210938,685.0,2018-05-18,0,0,0,2018,5,5,0,0,0,0,16.3,1.9,12.4,91.9,0
57,993.2274169921875,646.0,2018-05-19,0,0,1,2018,5,6,0,0,0,0,14.7,0.0,6.5,66.0,1
58,866.8892211914062,938.0000610351562,2018-05-20,0,0,1,2018,5,7,0,0,0,0,15.4,0.0,6.9,66.5,1
59,506.8357238769531,684.0,2018-05-21,0,0,0,2018,5,1,0,0,0,0,17.2,0.0,5.2,71.9,0
60,464.4740295410156,662.0,2018-05-22,0,0,1,2018,5,2,0,0,0,1,18.0,4.1,4.6,74.9,0
61,416.4790954589844,454.9999694824219,2018-05-23,0,0,0,2018,5,3,0,0,0,0,18.1,27.6,4.6,77.6,0
62,641.351318359375,588.0,2018-05-24,0,0,0,2018,5,4,0,0,0,0,19.4,0.0,6.5,57.4,0
63,670.1843872070312,628.0,2018-05-25,0,0,0,2018,5,5,0,0,0,0,21.1,0.0,5.8,51.3,0
64,1058.5821533203125,972.0000610351562,2018-05-26,0,0,1,2018,5,6,0,0,0,0,20.5,0.0,5.1,52.9,1
65,685.7457885742188,454.9999694824219,2018-05-28,0,0,0,2018,5,1,0,0,0,0,19.5,0.6,4.2,84.1,0
66,396.5401916503906,698.0,2018-05-29,0,0,0,2018,5,2,0,0,0,0,21.0,0.0,4.9,82.9,0
67,414.7510070800781,482.0,2018-05-30,0,0,0,2018,5,3,0,0,0,0,21.9,0.5,6.6,79.9,0
68,666.54638671875,431.0,2018-05-31,0,0,0,2018,5,4,0,0,0,0,20.2,0.0,4.8,68.1,0
69,549.6878051757812,562.0,2018-06-01,0,0,0,2018,6,5,0,0,0,0,21.6,0.0,5.5,54.0,0
70,805.2218017578125,831.0,2018-06-02,0,0,1,2018,6,6,0,0,0,0,22.9,0.0,6.7,60.4,1
71,869.378173828125,713.0,2018-06-03,0,0,1,2018,6,7,0,0,0,0,21.3,0.0,7.8,71.9,1
72,568.3115844726562,364.0,2018-06-04,0,0,0,2018,6,1,0,0,0,0,22.2,0.0,6.7,68.0,0
73,658.4766235351562,407.0,2018-06-05,0,0,0,2018,6,2,0,0,0,0,19.7,5.7,6.3,84.8,0
74,570.88720703125,1062.0,2018-06-06,0,0,1,2018,6,3,0,0,0,1,21.6,0.0,5.1,79.6,0
75,610.1292114257812,478.0,2018-06-07,0,0,0,2018,6,4,0,0,0,0,21.8,0.0,7.8,78.1,0
76,665.6143188476562,551.0,2018-06-08,0,0,0,2018,6,5,0,0,0,0,22.8,0.0,5.2,68.9,0
77,858.7205810546875,885.0,2018-06-09,0,0,1,2018,6,6,0,0,0,0,21.2,0.0,6.3,65.9,1
78,473.43060302734375,596.0,2018-06-11,0,0,0,2018,6,1,0,0,0,0,17.2,32.9,4.4,86.3,0
79,568.3675537109375,337.0,2018-06-12,0,0,0,2018,6,2,0,0,0,0,18.3,0.0,4.0,72.3,0
80,652.216064453125,1877.5,2018-06-13,0,0,1,2018,6,3,0,0,0,1,19.6,0.0,4.4,72.4,0
81,876.0994262695312,1403.0,2018-06-14,0,0,0,2018,6,4,0,0,0,0,19.9,0.0,5.1,72.9,0
82,1059.6834716796875,1367.0,2018-06-15,0,0,0,2018,6,5,0,0,0,0,19.3,0.0,5.2,65.3,0
83,1313.3677978515625,1743.0,2018-06-16,0,0,1,2018,6,6,0,0,0,0,18.5,0.0,4.7,68.5,1
84,1123.3768310546875,1877.5,2018-06-17,0,0,1,2018,6,7,0,0,0,0,20.9,0.0,4.2,71.0,1
85,928.3629150390625,549.0,2018-06-18,0,0,0,2018,6,1,0,0,0,0,22.8,0.0,4.5,72.6,0
